request_id,workflow,label,run_slug,endpoint_name,endpoint_type,started_at,ended_at,elapsed_seconds,outcome,status_code,error_type,retry_count,query_summary
14,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:02,2026-03-29T08:19:03,0.796,success,200.0,,1,"start_date=2026-03-31; end_date=2026-03-31; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
15,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:03,2026-03-29T08:19:04,0.786,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=37.5,37.5,37.5,37.5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0; longitude=-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,..."
16,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:04,2026-03-29T08:19:05,0.798,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,45.0,45.0,45.0,45.0; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
17,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:06,2026-03-29T08:19:06,0.78,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=45.0,45.0,45.0,45.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5; longitude=-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,..."
18,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:07,2026-03-29T08:19:07,0.807,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
19,pilot_day,region=rockies;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:08,2026-03-29T08:19:08,0.636,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=51.0,51.0,51.0,51.0; longitude=-105.5,-103.0,-100.5,-100.0"
20,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:10,2026-03-29T08:19:55,45.159,retrying,,timeout,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.5,25.5,25.5,25.5; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0"
21,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:57,2026-03-29T08:19:58,0.765,success,200.0,,1,"start_date=2026-03-31; end_date=2026-03-31; latitude=23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.5,25.5,25.5,25.5; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0"
22,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:58,2026-03-29T08:19:59,0.815,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=25.5,25.5,25.5,25.5,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0; longitude=-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0"
23,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:19:59,2026-03-29T08:20:00,0.783,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,33.0,33.0,33.0,33.0; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0"
24,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:00,2026-03-29T08:20:16,15.537,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=33.0,33.0,33.0,33.0,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5; longitude=-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0"
25,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:16,2026-03-29T08:20:17,0.787,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.5,40.5,40.5,40.5; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0"
26,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:17,2026-03-29T08:20:18,0.809,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=40.5,40.5,40.5,40.5,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0; longitude=-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0"
27,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:18,2026-03-29T08:20:19,0.796,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,48.0,48.0,48.0,48.0; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0"
28,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:20,2026-03-29T08:20:20,0.78,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=48.0,48.0,48.0,48.0,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5; longitude=-96.5,-94.0,-91.5,-90.0,-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0"
29,pilot_day,region=plains;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:21,2026-03-29T08:20:21,0.809,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0; longitude=-106.5,-104.0,-101.5,-99.0,-96.5,-94.0,-91.5,-90.0"
30,pilot_day,region=southeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:20:23,2026-03-29T08:21:08,45.197,retrying,,timeout,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=22.0,22.0,22.0,22.0,22.0,22.0,22.0,25.5,25.5,25.5,25.5,25.5; longitude=-94.0,-90.5,-87.0,-83.5,-80.0,-76.5,-73.0,-94.0,-90.5,-87.0,-83.5,-80.0"
31,pilot_day,region=southeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:10,2026-03-29T08:21:11,0.816,success,200.0,,1,"start_date=2026-03-31; end_date=2026-03-31; latitude=22.0,22.0,22.0,22.0,22.0,22.0,22.0,25.5,25.5,25.5,25.5,25.5; longitude=-94.0,-90.5,-87.0,-83.5,-80.0,-76.5,-73.0,-94.0,-90.5,-87.0,-83.5,-80.0"
32,pilot_day,region=southeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:11,2026-03-29T08:21:12,0.801,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=25.5,25.5,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.5,32.5,32.5; longitude=-76.5,-73.0,-94.0,-90.5,-87.0,-83.5,-80.0,-76.5,-73.0,-94.0,-90.5,-87.0"
33,pilot_day,region=southeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:12,2026-03-29T08:21:13,0.792,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=32.5,32.5,32.5,32.5,36.0,36.0,36.0,36.0,36.0,36.0,36.0,39.5; longitude=-83.5,-80.0,-76.5,-73.0,-94.0,-90.5,-87.0,-83.5,-80.0,-76.5,-73.0,-94.0"
34,pilot_day,region=southeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:13,2026-03-29T08:21:14,0.791,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=39.5,39.5,39.5,39.5,39.5,39.5; longitude=-90.5,-87.0,-83.5,-80.0,-76.5,-73.0"
35,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:16,2026-03-29T08:21:17,0.797,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5; longitude=-84.0,-81.5,-79.0,-76.5,-74.0,-71.5,-69.0,-66.5,-64.5,-84.0,-81.5,-79.0"
36,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:21:17,2026-03-29T08:22:02,45.203,retrying,,timeout,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=37.5,37.5,37.5,37.5,37.5,37.5,40.0,40.0,40.0,40.0,40.0,40.0; longitude=-76.5,-74.0,-71.5,-69.0,-66.5,-64.5,-84.0,-81.5,-79.0,-76.5,-74.0,-71.5"
37,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:04,2026-03-29T08:22:05,0.772,success,200.0,,1,"start_date=2026-03-31; end_date=2026-03-31; latitude=37.5,37.5,37.5,37.5,37.5,37.5,40.0,40.0,40.0,40.0,40.0,40.0; longitude=-76.5,-74.0,-71.5,-69.0,-66.5,-64.5,-84.0,-81.5,-79.0,-76.5,-74.0,-71.5"
38,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:05,2026-03-29T08:22:06,0.798,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=40.0,40.0,40.0,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5; longitude=-69.0,-66.5,-64.5,-84.0,-81.5,-79.0,-76.5,-74.0,-71.5,-69.0,-66.5,-64.5"
39,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:07,2026-03-29T08:22:07,0.784,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.5,47.5,47.5; longitude=-84.0,-81.5,-79.0,-76.5,-74.0,-71.5,-69.0,-66.5,-64.5,-84.0,-81.5,-79.0"
40,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:08,2026-03-29T08:22:08,0.808,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=47.5,47.5,47.5,47.5,47.5,47.5,49.5,49.5,49.5,49.5,49.5,49.5; longitude=-76.5,-74.0,-71.5,-69.0,-66.5,-64.5,-84.0,-81.5,-79.0,-76.5,-74.0,-71.5"
41,pilot_day,region=northeast;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:09,2026-03-29T08:22:09,0.634,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=49.5,49.5,49.5; longitude=-69.0,-66.5,-64.5"
42,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:11,2026-03-29T08:22:56,45.172,retrying,,timeout,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.25,40.25,40.25; longitude=-96.0,-93.75,-91.5,-89.25,-87.0,-84.75,-82.5,-80.25,-78.0,-96.0,-93.75,-91.5"
43,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:22:58,2026-03-29T08:22:59,0.787,success,200.0,,1,"start_date=2026-03-31; end_date=2026-03-31; latitude=38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.25,40.25,40.25; longitude=-96.0,-93.75,-91.5,-89.25,-87.0,-84.75,-82.5,-80.25,-78.0,-96.0,-93.75,-91.5"
44,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:23:00,2026-03-29T08:23:00,0.898,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=40.25,40.25,40.25,40.25,40.25,40.25,42.5,42.5,42.5,42.5,42.5,42.5; longitude=-89.25,-87.0,-84.75,-82.5,-80.25,-78.0,-96.0,-93.75,-91.5,-89.25,-87.0,-84.75"
45,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:23:01,2026-03-29T08:23:02,0.778,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=42.5,42.5,42.5,44.75,44.75,44.75,44.75,44.75,44.75,44.75,44.75,44.75; longitude=-82.5,-80.25,-78.0,-96.0,-93.75,-91.5,-89.25,-87.0,-84.75,-82.5,-80.25,-78.0"
46,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:23:02,2026-03-29T08:23:03,0.806,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.25,49.25,49.25; longitude=-96.0,-93.75,-91.5,-89.25,-87.0,-84.75,-82.5,-80.25,-78.0,-96.0,-93.75,-91.5"
47,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:23:03,2026-03-29T08:23:04,0.804,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=49.25,49.25,49.25,49.25,49.25,49.25,51.5,51.5,51.5,51.5,51.5,51.5; longitude=-89.25,-87.0,-84.75,-82.5,-80.25,-78.0,-96.0,-93.75,-91.5,-89.25,-87.0,-84.75"
48,pilot_day,region=great_lakes;date=2026-03-31,comfortwx_pilot_day_openmeteo_20260331,openmeteo_forecast,forecast,2026-03-29T08:23:04,2026-03-29T08:23:05,0.635,success,200.0,,0,"start_date=2026-03-31; end_date=2026-03-31; latitude=51.5,51.5,51.5; longitude=-82.5,-80.25,-78.0"
